dataset_id,case_id,is_id,size_class,severity,method_a,method_b,coverage,n_A,n_B
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V1,V1,0.0,6,6
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V1,V2,0.0,6,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V1,V3,0.0,6,40
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V1,V4,0.0,6,141
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V2,V1,0.0,2,6
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V2,V2,0.0,2,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V2,V3,0.0,2,40
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V2,V4,0.0,2,141
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V3,V1,0.16666666666666666,40,6
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V3,V2,0.5,40,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V3,V3,0.0,40,40
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V3,V4,0.2978723404255319,40,141
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V4,V1,0.16666666666666666,141,6
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V4,V2,0.5,141,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V4,V3,0.425,141,40
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V4,V4,0.0,141,141
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V1,V1,0.0,11,11
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V1,V2,0.3333333333333333,11,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V1,V3,0.48717948717948717,11,39
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V1,V4,0.3898305084745763,11,177
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V2,V1,0.0,3,11
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V2,V2,0.0,3,3
