size_class,severity,method_a,method_b,n_is,coverage_median,coverage_q1,coverage_q3,coverage_iqr
large,leicht,V1,V1,4,0.0,0.0,0.0,0.0
large,leicht,V1,V2,4,0.0,0.0,0.0,0.0
large,leicht,V1,V3,4,0.0,0.0,0.057692307692307696,0.057692307692307696
large,leicht,V1,V4,4,0.0,0.0,0.07867132867132867,0.07867132867132867
large,leicht,V2,V1,4,0.0,0.0,0.0,0.0
large,leicht,V2,V2,4,0.0,0.0,0.0,0.0
large,leicht,V2,V3,4,0.0,0.0,0.013157894736842105,0.013157894736842105
large,leicht,V2,V4,4,0.0,0.0,0.0,0.0
large,leicht,V3,V1,4,0.08333333333333333,0.0,0.1875,0.1875
large,leicht,V3,V2,4,0.25,0.0,0.5,0.5
large,leicht,V3,V3,4,0.0,0.0,0.0,0.0
large,leicht,V3,V4,4,0.06993006993006994,0.0,0.17936319000148787,0.17936319000148787
large,leicht,V4,V1,4,0.08333333333333333,0.0,0.1875,0.1875
large,leicht,V4,V2,4,0.25,0.0,0.5,0.5
large,leicht,V4,V3,4,0.7162618083670715,0.5293269230769231,0.8768059855521156,0.34747906247519256
large,leicht,V4,V4,4,0.0,0.0,0.0,0.0
large,mittel,V1,V1,4,0.0,0.0,0.0,0.0
large,mittel,V1,V2,4,0.125,0.0,0.2708333333333333,0.2708333333333333
large,mittel,V1,V3,4,0.0,0.0,0.12179487179487179,0.12179487179487179
large,mittel,V1,V4,4,0.0,0.0,0.09745762711864407,0.09745762711864407
large,mittel,V2,V1,4,0.0,0.0,0.027777777777777776,0.027777777777777776
large,mittel,V2,V2,4,0.0,0.0,0.0,0.0
large,mittel,V2,V3,4,0.0,0.0,0.0,0.0
large,mittel,V2,V4,4,0.0,0.0,0.0,0.0
large,mittel,V3,V1,4,0.29292929292929293,0.21666666666666667,0.3727272727272727,0.156060606060606
large,mittel,V3,V2,4,0.5833333333333333,0.375,0.75,0.375
large,mittel,V3,V3,4,0.0,0.0,0.0,0.0
large,mittel,V3,V4,4,0.032802951689150234,0.01689847913687768,0.05860760741032715,0.04170912827344947
large,mittel,V4,V1,4,0.3318181818181818,0.28055555555555556,0.3727272727272727,0.09217171717171713
large,mittel,V4,V2,4,0.5833333333333333,0.375,0.75,0.375
large,mittel,V4,V3,4,0.747093023255814,0.6802325581395349,0.7932692307692308,0.11303667262969597
large,mittel,V4,V4,4,0.0,0.0,0.0,0.0
large,schwer,V1,V1,4,0.0,0.0,0.0,0.0
large,schwer,V1,V2,2,0.3333333333333333,0.16666666666666666,0.5,0.33333333333333337
large,schwer,V1,V3,4,0.0,0.0,0.0,0.0
large,schwer,V1,V4,4,0.0,0.0,0.0,0.0
large,schwer,V2,V1,4,0.0,0.0,0.022727272727272728,0.022727272727272728
large,schwer,V2,V2,2,0.0,0.0,0.0,0.0
large,schwer,V2,V3,4,0.0,0.0,0.0,0.0
large,schwer,V2,V4,4,0.0,0.0,0.0,0.0
large,schwer,V3,V1,4,0.13392857142857142,0.09375,0.1525974025974026,0.05884740259740259
large,schwer,V3,V2,2,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666669
large,schwer,V3,V3,4,0.0,0.0,0.0,0.0
large,schwer,V3,V4,4,0.04318472355385107,0.020134228187919462,0.09009740259740259,0.06996317440948313
large,schwer,V4,V1,4,0.0,0.0,0.03125,0.03125
large,schwer,V4,V2,2,0.16666666666666666,0.08333333333333333,0.25,0.16666666666666669
large,schwer,V4,V3,4,0.8359456635318705,0.7224871606749816,0.8808651026392962,0.15837794196431454
large,schwer,V4,V4,4,0.0,0.0,0.0,0.0
medium,leicht,V1,V1,4,0.0,0.0,0.0,0.0
medium,leicht,V1,V2,4,0.0,0.0,0.16666666666666666,0.16666666666666666
medium,leicht,V1,V3,4,0.04838709677419355,0.0,0.2505467468562056,0.2505467468562056
medium,leicht,V1,V4,4,0.01871657754010695,0.0,0.151550476066258,0.151550476066258
medium,leicht,V2,V1,4,0.0,0.0,0.0625,0.0625
medium,leicht,V2,V2,4,0.0,0.0,0.0,0.0
medium,leicht,V2,V3,4,0.0,0.0,0.0,0.0
medium,leicht,V2,V4,4,0.0,0.0,0.0,0.0
medium,leicht,V3,V1,4,0.0,0.0,0.0,0.0
medium,leicht,V3,V2,4,0.0,0.0,0.0,0.0
medium,leicht,V3,V3,4,0.0,0.0,0.0,0.0
medium,leicht,V3,V4,4,0.007853403141361256,0.0,0.049213259792255784,0.049213259792255784
medium,leicht,V4,V1,4,0.0,0.0,0.03571428571428571,0.03571428571428571
medium,leicht,V4,V2,4,0.0,0.0,0.0,0.0
medium,leicht,V4,V3,4,0.837087912087912,0.752636476426799,0.910048426150121,0.15741194972332206
