dataset_id,case_id,is_id,size_class,severity,method,n_feasible_raw,n_feasible_deduped,nd_size,p_star_size,contrib_inclusive,contrib_unique,runtime_median_seconds,ttff_median_seconds,feasibility_rate,n_runs,n_success,I,T,S,seed_instance,seed_scenario
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V1,19,7,6,126,0.03968253968253968,0.031746031746031744,35.59299999999348,4.73399999999674,1.0,3,3,,,,380298144,3987306247
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V2,5,2,2,126,0.007936507936507936,0.0,13.952999999979511,4.172000000020489,1.0,3,3,,,,380298144,3987306247
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V3,77,75,40,126,0.18253968253968253,0.1746031746031746,71.64100000000326,0.046999999991385266,1.0,3,3,,,,380298144,3987306247
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,V4,1314,1311,141,126,0.7857142857142857,0.7777777777777778,90.0,0.030999999988125637,1.0,3,3,,,,380298144,3987306247
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V1,16,14,11,115,0.06086956521739131,0.06086956521739131,36.078000000008615,4.01500000001397,1.0,3,3,,,,380298144,3527995278
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V2,3,3,3,115,0.0,0.0,13.187000000005355,2.1719999999913853,0.3333333333333333,3,1,,,,380298144,3527995278
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V3,79,77,39,115,0.008695652173913044,0.0,73.14100000000326,0.0470000000204891,1.0,3,3,,,,380298144,3527995278
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-mittel,large,mittel,V4,1116,1113,177,115,0.9391304347826087,0.9304347826086956,90.0,0.031000000017229468,1.0,3,3,,,,380298144,3527995278
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V1,13,13,8,201,0.03482587064676617,0.03482587064676617,39.23399999999674,11.40700000000652,1.0,3,3,,,,380298144,982435135
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V2,0,0,0,201,0.0,0.0,12.905999999988126,,0.0,3,0,,,,380298144,982435135
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V3,80,80,47,201,0.11442786069651742,0.11442786069651742,73.84400000001187,0.062000000005355105,1.0,3,3,,,,380298144,982435135
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-schwer,large,schwer,V4,1222,1220,209,201,0.8507462686567164,0.8507462686567164,90.01499999998487,0.046999999991385266,1.0,3,3,,,,380298144,982435135
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-leicht,large,leicht,V1,16,9,8,107,0.07476635514018691,0.04672897196261682,29.64100000000326,11.562000000005355,1.0,3,3,,,,1608735894,3160269448
