omega,method,wins,n_is,win_rate
"(0.0, 0.0, 0.0, 1.0)",V1,36,36,1.0
"(0.0, 0.0, 0.0, 1.0)",V2,0,36,0.0
"(0.0, 0.0, 0.0, 1.0)",V3,0,36,0.0
"(0.0, 0.0, 0.0, 1.0)",V4,0,36,0.0
"(0.0, 0.0, 1.0, 0.0)",V1,36,36,1.0
"(0.0, 0.0, 1.0, 0.0)",V2,0,36,0.0
"(0.0, 0.0, 1.0, 0.0)",V3,0,36,0.0
"(0.0, 0.0, 1.0, 0.0)",V4,0,36,0.0
"(0.0, 1.0, 0.0, 0.0)",V1,36,36,1.0
"(0.0, 1.0, 0.0, 0.0)",V2,0,36,0.0
"(0.0, 1.0, 0.0, 0.0)",V3,0,36,0.0
"(0.0, 1.0, 0.0, 0.0)",V4,0,36,0.0
"(0.25, 0.25, 0.25, 0.25)",V1,25,36,0.6944444444444444
"(0.25, 0.25, 0.25, 0.25)",V2,1,36,0.027777777777777776
"(0.25, 0.25, 0.25, 0.25)",V3,7,36,0.19444444444444445
"(0.25, 0.25, 0.25, 0.25)",V4,3,36,0.08333333333333333
"(1.0, 0.0, 0.0, 0.0)",V1,36,36,1.0
"(1.0, 0.0, 0.0, 0.0)",V2,0,36,0.0
"(1.0, 0.0, 0.0, 0.0)",V3,0,36,0.0
"(1.0, 0.0, 0.0, 0.0)",V4,0,36,0.0
"(1.0, 1.0, 1.0, 1.0)",V1,25,36,0.6944444444444444
"(1.0, 1.0, 1.0, 1.0)",V2,1,36,0.027777777777777776
"(1.0, 1.0, 1.0, 1.0)",V3,7,36,0.19444444444444445
"(1.0, 1.0, 1.0, 1.0)",V4,3,36,0.08333333333333333
