size_class,severity,method_a,method_b,n_is,coverage_median,coverage_q1,coverage_q3,coverage_iqr
large,leicht,V1,V1,4,0.0,0.0,0.0,0.0
large,leicht,V1,V2,4,0.0,0.0,0.0,0.0
large,leicht,V1,V3,4,0.0,0.0,0.0,0.0
large,leicht,V1,V4,4,0.0,0.0,0.0,0.0
large,leicht,V2,V1,4,0.0,0.0,0.0,0.0
large,leicht,V2,V2,4,0.0,0.0,0.0,0.0
large,leicht,V2,V3,4,0.0,0.0,0.0,0.0
large,leicht,V2,V4,4,0.0,0.0,0.0,0.0
large,leicht,V3,V1,4,0.1,0.0,0.2708333333333333,0.2708333333333333
large,leicht,V3,V2,4,0.25,0.0,0.5,0.5
large,leicht,V3,V3,4,0.0,0.0,0.0,0.0
large,leicht,V3,V4,4,0.0,0.0,0.04616477272727273,0.04616477272727273
large,leicht,V4,V1,4,0.1,0.0,0.2708333333333333,0.2708333333333333
large,leicht,V4,V2,4,0.25,0.0,0.5,0.5
large,leicht,V4,V3,4,0.7863636363636364,0.5652173913043479,0.8733277591973244,0.3081103678929765
large,leicht,V4,V4,4,0.0,0.0,0.0,0.0
large,mittel,V1,V1,4,0.0,0.0,0.0,0.0
large,mittel,V1,V2,4,0.0,0.0,0.41666666666666663,0.41666666666666663
large,mittel,V1,V3,4,0.0,0.0,0.0,0.0
large,mittel,V1,V4,4,0.0,0.0,0.0,0.0
large,mittel,V2,V1,4,0.0,0.0,0.0,0.0
large,mittel,V2,V2,4,0.0,0.0,0.0,0.0
large,mittel,V2,V3,4,0.0,0.0,0.0,0.0
large,mittel,V2,V4,4,0.0,0.0,0.0,0.0
large,mittel,V3,V1,4,0.4,0.38333333333333336,0.5,0.11666666666666664
large,mittel,V3,V2,4,0.8333333333333333,0.625,1.0,0.375
large,mittel,V3,V3,4,0.0,0.0,0.0,0.0
large,mittel,V3,V4,4,0.013043478260869565,0.0,0.07442348008385744,0.07442348008385744
large,mittel,V4,V1,4,0.4,0.4,0.5,0.09999999999999998
large,mittel,V4,V2,4,0.8333333333333333,0.625,1.0,0.375
large,mittel,V4,V3,4,0.7446153846153847,0.6075,0.9175,0.30999999999999994
large,mittel,V4,V4,4,0.0,0.0,0.0,0.0
large,schwer,V1,V1,4,0.0,0.0,0.0,0.0
large,schwer,V1,V2,2,0.0,0.0,0.0,0.0
large,schwer,V1,V3,4,0.0,0.0,0.0,0.0
large,schwer,V1,V4,4,0.0,0.0,0.0,0.0
large,schwer,V2,V1,4,0.0,0.0,0.0,0.0
large,schwer,V2,V2,2,0.0,0.0,0.0,0.0
large,schwer,V2,V3,4,0.0,0.0,0.0,0.0
large,schwer,V2,V4,4,0.0,0.0,0.0,0.0
large,schwer,V3,V1,4,0.0,0.0,0.041666666666666664,0.041666666666666664
large,schwer,V3,V2,2,0.0,0.0,0.0,0.0
large,schwer,V3,V3,4,0.0,0.0,0.0,0.0
large,schwer,V3,V4,4,0.024903631568269427,0.009375000000000001,0.08356227106227106,0.07418727106227105
large,schwer,V4,V1,4,0.0,0.0,0.0,0.0
large,schwer,V4,V2,2,0.0,0.0,0.0,0.0
large,schwer,V4,V3,4,0.729020979020979,0.625,0.8557692307692307,0.23076923076923073
large,schwer,V4,V4,4,0.0,0.0,0.0,0.0
medium,leicht,V1,V1,4,0.0,0.0,0.0,0.0
medium,leicht,V1,V2,4,0.0,0.0,0.0625,0.0625
medium,leicht,V1,V3,4,0.0,0.0,0.009615384615384616,0.009615384615384616
medium,leicht,V1,V4,4,0.0,0.0,0.0,0.0
medium,leicht,V2,V1,4,0.0,0.0,0.21250000000000002,0.21250000000000002
medium,leicht,V2,V2,4,0.0,0.0,0.0,0.0
medium,leicht,V2,V3,4,0.0,0.0,0.0,0.0
medium,leicht,V2,V4,4,0.0,0.0,0.0,0.0
medium,leicht,V3,V1,4,0.0,0.0,0.0,0.0
medium,leicht,V3,V2,4,0.0,0.0,0.0,0.0
medium,leicht,V3,V3,4,0.0,0.0,0.0,0.0
medium,leicht,V3,V4,4,0.0,0.0,0.0,0.0
medium,leicht,V4,V1,4,0.0,0.0,0.05,0.05
medium,leicht,V4,V2,4,0.0,0.0,0.0,0.0
medium,leicht,V4,V3,4,0.7826086956521738,0.634963768115942,0.9618945868945868,0.3269308187786448
medium,leicht,V4,V4,4,0.0,0.0,0.0,0.0
medium,mittel,V1,V1,4,0.0,0.0,0.0,0.0
medium,mittel,V1,V2,4,0.25,0.1875,0.375,0.1875
medium,mittel,V1,V3,4,0.0,0.0,0.0,0.0
medium,mittel,V1,V4,4,0.0,0.0,0.0,0.0
medium,mittel,V2,V1,4,0.0,0.0,0.2,0.2
