dataset_id,case_id,is_id,size_class,severity,replicate_id,replicate_key_used,replicate_fallback_reason,method_a,method_b,coverage,n_A,n_B
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V1,V1,0.0,4,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V1,V2,0.0,4,1
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V1,V3,0.0,4,23
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V1,V4,0.0,4,119
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V2,V1,0.0,1,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V2,V2,0.0,1,1
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V2,V3,0.0,1,23
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V2,V4,0.0,1,119
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V3,V1,0.25,23,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V3,V2,0.0,23,1
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V3,V3,0.0,23,23
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V3,V4,0.0,23,119
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V4,V1,0.25,119,4
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V4,V2,0.0,119,1
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V4,V3,0.8695652173913043,119,23
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,101,seed_global,,V4,V4,0.0,119,119
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V1,V1,0.0,3,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V1,V2,0.0,3,2
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V1,V3,0.0,3,25
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V1,V4,0.0,3,146
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V2,V1,0.0,2,3
praxisnah_v1,sc-large__av-loose__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-loose__dp-weekday_high__sev-leicht,large,leicht,202,seed_global,,V2,V2,0.0,2,2
